#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-04-02T00:59:59 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ551c819f2f1c
#INFO	-out.max=unlimited
#INFO	queryParameters=7
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/568/A22&tab:{J/A+A/568/A22/tablef1}&key:source=J/A+A/568/A22/tablef1&HTTPPRM:&
#-source=J/A+A/568/A22/tablef1
#-order=I
#-out=z
#-out=mu
#

#RESOURCE=yCat_35680022
#Name: J/A+A/568/A22
#Title: Joint analysis of the SDSS-II and SNLS SNe Ia (Betoule+, 2014)
#Table	J_A_A_568_A22_tablef1:
#Name: J/A+A/568/A22/tablef1
#Title: Binned distance moduli (download the \aFile{J/A+A/568/A22/tablef2.fit}{31x31 covariance matrix})
#Column	z	(F6.3)	[0.01/1.3] Redshift of the node	[ucd=src.redshift]
#Column	mu	(F7.4)	[32.9/44.9] Interpolated distance (1)	[ucd=phot.mag.distMod]
z	mu
# 	mag
#------	-------
 0.010	32.9539
 0.012	33.8790
 0.014	33.8421
 0.016	34.1186
 0.019	34.5934
 0.023	34.9390
 0.026	35.2521
 0.031	35.7485
 0.037	36.0698
 0.043	36.4346
 0.051	36.6511
 0.060	37.1580
 0.070	37.4302
 0.082	37.9566
 0.097	38.2533
 0.114	38.6129
 0.134	39.0679
 0.158	39.3414
 0.186	39.7921
 0.218	40.1565
 0.257	40.5650
 0.302	40.9053
 0.355	41.4214
 0.418	41.7909
 0.491	42.2315
 0.578	42.6170
 0.679	43.0527
 0.799	43.5042
 0.940	43.9726
 1.105	44.5141
 1.300	44.8219

